"DayOfTheWeek","Main","Total_Volume"
1,"BATHURST ST",17461
1,"MEADOWVALE RD",7809
1,"ZOO RD",1998
2,"ALBION RD",14758
2,"ALNESS ST",10181
2,"ANNETTE ST",8470
2,"ASHTONBEE RD",8370
2,"ATTWELL DR",6998
2,"AVENUE RD",116638
2,"BAMBURGH CRCL",4460
2,"BATHURST ST",217823
2,"BAY ST",11424
2,"BAYVIEW AVE",190108
2,"BELLAMY RD N",7253
2,"BERMONDSEY RD",11615
2,"BIRCHMOUNT RD",8462
2,"BLACK CREEK DR",28148
2,"BLOOR ST W",91840
2,"BREMNER BLVD",7045
2,"BRIMLEY RD",65324
2,"BROADVIEW AVE",29716
2,"BURNHAMTHORPE RD",65723
2,"CALEDONIA RD",26578
2,"CARLTON ST",14277
2,"CASTLEFIELD AVE",20314
2,"CHAPLIN CRES",8872
2,"CHERRY ST",28616
2,"CHRISTIE ST",8745
2,"CHURCH ST",17848
2,"COLLEGE ST",64347
2,"COMMISSIONERS ST",5337
2,"COMSTOCK RD",7062
2,"CORPORATE DR",6232
2,"COXWELL AVE",42588
2,"DANFORTH AVE",36808
2,"DANFORTH RD",9062
2,"DAVENPORT RD",65311
2,"DAWES RD",8431
2,"DIXON RD",37841
2,"DON MILLS RD",124976
2,"DON MILLS RD E",8329
2,"DONLANDS AVE",8705
2,"DORIS AVE",13185
2,"DUFFERIN ST",283527
2,"DUNDAS ST E",127896
2,"DUNDAS ST W",164606
2,"DUPLEX AVE",7033
2,"DUPONT ST",13871
2,"EASTERN AVE",41818
2,"EGLINTON AVE E",336277
2,"EGLINTON AVE W",423675
2,"ELLESMERE RD",94266
2,"ESTHER SHINER BLVD",8059
2,"EVANS AVE",12094
2,"FAIRVIEW MALL DR",4893
2,"FENMAR DR",9022
2,"FINCH AVE E",92760
2,"FINCH AVE W",144423
2,"FRONT ST W",30998
2,"GATEWAY BLVD",7117
2,"GERRARD ST E",44900
2,"GREENWOOD AVE",11060
2,"HOSKIN AVE",9719
2,"HUMBER COLLEGE BLVD",7671
2,"HUMBERWOOD BLVD",8264
2,"HUNTINGWOOD DR",8440
2,"ISLINGTON AVE",37973
2,"JANE ST",130174
2,"KEELE ST",65220
2,"KENNEDY RD",60588
2,"KING ST E",7221
2,"KING ST W",12136
2,"KINGSTON RD",110352
2,"KIPLING AVE",51306
2,"LAKE SHORE BLVD E",100944
2,"LAKE SHORE BLVD W",76855
2,"LANSDOWNE AVE",12476
2,"LAWRENCE AVE E",264086
2,"LAWRENCE AVE W",140127
2,"LESLIE ST",96791
2,"LOWER SIMCOE ST",7826
2,"MARKHAM RD",17006
2,"MARLEE AVE",14229
2,"MARTIN GROVE RD",61573
2,"MCCOWAN RD",128283
2,"MCLEVIN AVE",11486
2,"MCNICOLL AVE",9766
2,"MIDLAND AVE",16723
2,"MILNER AVE",6126
2,"MORNINGSIDE AVE",60034
2,"MORTIMER AVE",5963
2,"MOUNT PLEASANT RD",132987
2,"MURRAY ROSS PKWY",3941
2,"NORTH QUEEN ST",11349
2,"O CONNOR DR",68979
2,"OLD KINGSTON RD",5017
2,"ORIOLE PKWY",15271
2,"PARK HOME AVE",24062
2,"PARKSIDE DR",14076
2,"PHARMACY AVE",49341
2,"PORT UNION RD",14275
2,"PROGRESS AVE",49663
2,"QUEEN ST E",46671
2,"QUEEN ST W",10992
2,"QUEENS QUAY E",8464
2,"RANEE AVE",5002
2,"RATHBURN RD",14541
2,"RICHMOND ST E",16387
2,"RICHMOND ST W",5992
2,"RIVER ST",7494
2,"ROGERS RD",19955
2,"RONCESVALLES AVE",10754
2,"ROYAL YORK RD",11517
2,"SHEPPARD AVE E",60796
2,"SHEPPARD AVE W",35161
2,"SIMCOE ST",13527
2,"SPADINA AVE",26308
2,"ST CLAIR AVE W",122212
2,"ST GEORGE ST",10891
2,"STEELES AVE E",223904
2,"STEELES AVE W",156550
2,"TAPSCOTT RD",6827
2,"THE EAST MALL",9190
2,"THE QUEENSWAY",80686
2,"THE WEST MALL",15120
2,"TRETHEWEY DR",16082
2,"UNIVERSITY AVE",36542
2,"VICTORIA PARK AVE",97940
2,"WARDEN AVE",115879
2,"WELLINGTON ST W",13191
2,"WESTON RD",119883
2,"WILLIAM KITCHEN RD",7317
2,"WILLOWDALE AVE",27055
2,"WILSON AVE",64506
2,"WYNFORD DR",23083
2,"YONGE ST",240483
2,"YORKDALE RD",14052
2,"YORKLAND RD",10740
3,"ADELAIDE ST E",37282
3,"ADELAIDE ST W",34437
3,"ALBION RD",138158
3,"ALNESS ST",22426
3,"ANNETTE ST",8273
3,"AVENUE RD",161163
3,"BATHURST ST",244414
3,"BAY ST",130149
3,"BAYVIEW AVE",162162
3,"BELLAMY RD N",12278
3,"BERMONDSEY RD",8308
3,"BIRCHMOUNT RD",33490
3,"BLOOR ST W",178145
3,"BRIMLEY RD",23064
3,"BRITISH COLUMBIA RD",5861
3,"BROADVIEW AVE",38168
3,"BROWNS LINE",17657
3,"BURNHAMTHORPE RD",50369
3,"CALEDONIA RD",21949
3,"CARLTON ST",7115
3,"CHURCH ST",141015
3,"COLLEGE ST",86302
3,"DANFORTH AVE",108002
3,"DAVENPORT RD",11393
3,"DIXON RD",161197
3,"DON MILLS RD",136500
3,"DONLANDS AVE",13549
3,"DUFFERIN ST",197071
3,"DUNDAS ST E",26276
3,"DUNDAS ST W",181963
3,"EASTERN AVE",19550
3,"EGLINTON AVE E",86082
3,"EGLINTON AVE W",148309
3,"ELLESMERE RD",93567
3,"EVANS AVE",24251
3,"FINCH AVE E",298896
3,"FINCH AVE W",255587
3,"FRONT ST E",13530
3,"FRONT ST W",42641
3,"GARDINER E PARK LAWN RD RAMP",7957
3,"GATEWAY BLVD",8763
3,"GERRARD ST E",60099
3,"GREENWOOD AVE",8841
3,"HARBORD ST",22734
3,"HARBOUR ST",15905
3,"HIGHWAY 27",75773
3,"HORNER AVE",8924
3,"HUMBER COLLEGE BLVD",10936
3,"ISLINGTON AVE",148225
3,"JANE ST",225225
3,"JARVIS ST",190108
3,"KEELE ST",338712
3,"KENNEDY RD",137252
3,"KING ST E",61080
3,"KINGSTON RD",80346
3,"KIPLING AVE",242536
3,"LAKE SHORE BLVD E",11863
3,"LAKE SHORE BLVD W",201348
3,"LAWRENCE AVE E",276350
3,"LAWRENCE AVE W",80613
3,"LESLIE ST",71924
3,"LOWER JARVIS ST",17635
3,"LUMSDEN AVE",5969
3,"MARKHAM RD",134262
3,"MARLEE AVE",26946
3,"MARTIN GROVE RD",156373
3,"MCCOWAN RD",6698
3,"MCNICOLL AVE",19624
3,"MEADOWVALE RD",6129
3,"MIDLAND AVE",48508
3,"MILLWICK DR",13487
3,"MILLWOOD RD",5787
3,"MILNER AVE",25470
3,"MORNINGSIDE AVE",8313
3,"MOUNT PLEASANT RD",122593
3,"NEILSON RD",16583
3,"NORTH QUEEN ST",10172
3,"O CONNOR DR",55036
3,"OAKDALE RD",7787
3,"OAKWOOD AVE",14757
3,"OLD WESTON RD",7918
3,"OSSINGTON AVE",12903
3,"PARK LAWN RD",14100
3,"PARKWOODS VILLAGE DR",23215
3,"PARLIAMENT ST",28490
3,"PHARMACY AVE",92983
3,"PORT UNION RD",12224
3,"POYNTZ AVE",6514
3,"PRINCES BLVD",1518
3,"PROGRESS AVE",31833
3,"QUEEN ST E",95130
3,"QUEEN ST W",58971
3,"QUEENS PARK CRES E",13644
3,"QUEENS PARK CRES W",17479
3,"QUEENS QUAY W",18156
3,"RENFORTH DR",10695
3,"RICHMOND ST E",25545
3,"RICHMOND ST W",51666
3,"ROGERS RD",17979
3,"ROYAL YORK RD",32179
3,"SANDHURST CRCL",4253
3,"SCARBOROUGH GOLF CLUB RD",6204
3,"SCARLET RD",8476
3,"SCARLETT RD",43365
3,"SHEPPARD AVE E",197253
3,"SHEPPARD AVE W",127246
3,"SHERBOURNE ST",31212
3,"SHERWAY GARDENS RD",9713
3,"SHUTER ST",15621
3,"SIGNET DR",6679
3,"SOUTH KINGSWAY",10550
3,"SPADINA AVE",53656
3,"SPADINA RD",18236
3,"ST CLAIR AVE W",16199
3,"ST DENNIS DR",6903
3,"ST GEORGE ST",11789
3,"STEELES AVE E",141609
3,"STEELES AVE W",98891
3,"TALBOT RD",4998
3,"TAPSCOTT RD",8896
3,"THE DONWAY W",7564
3,"THE EAST MALL",54118
3,"THE QUEENSWAY",178004
3,"THE WEST MALL",22884
3,"THE WESTWAY",12860
3,"TRETHEWEY DR",16600
3,"VAUGHAN RD",6161
3,"VICTORIA PARK AVE",126949
3,"WARDEN AVE",259577
3,"WELLESLEY ST E",8997
3,"WESTON RD",105501
3,"WICKSTEED AVE",9275
3,"WILLIAM R ALLEN RD",59887
3,"WILMINGTON AVE",9708
3,"WILSON AVE",121181
3,"WYNFORD DR",32627
3,"YONGE ST",324322
3,"YORK BLVD",22023
3,"YORK MILLS RD",15004
3,"YORK ST",50532
4,"ADELAIDE ST E",12095
4,"ADELAIDE ST W",23255
4,"ALBION RD",143656
4,"AVENUE RD",147424
4,"BATHURST ST",259156
4,"BAY ST",119873
4,"BAYVIEW AVE",134613
4,"BEECROFT RD",8866
4,"BELFIELD RD",7702
4,"BELLAMY RD N",11842
4,"BIRCHMOUNT RD",216869
4,"BLACK CREEK DR",79080
4,"BLOOR ST W",270943
4,"BREMNER BLVD",8482
4,"BRENTCLIFFE RD",11551
4,"BRIDLETOWNE CRCL",5659
4,"BRIMLEY RD",31333
4,"BROADVIEW AVE",24501
4,"BURNHAMTHORPE RD",62775
4,"CALEDONIA RD",17908
4,"CARLINGVIEW DR",8629
4,"CHURCH ST",69804
4,"CLONMORE DR",12124
4,"COMMISSIONERS ST",4771
4,"CONSUMERS RD",10305
4,"CORPORATE DR",7907
4,"CUMMER AVE",9132
4,"DANFORTH AVE",84979
4,"DANFORTH RD",56540
4,"DAVENPORT RD",27365
4,"DAWES RD",7998
4,"DON MILLS RD",174493
4,"DON MILLS RD W",19459
4,"DORIS AVE",13319
4,"DREWRY AVE",10619
4,"DUFFERIN ST",160259
4,"DUNDAS ST W",210089
4,"DUPLEX AVE",8457
4,"DUPONT ST",24076
4,"DWIGHT AVE",4301
4,"EASTERN AVE",16697
4,"EGLINTON AVE E",235490
4,"EGLINTON AVE W",84031
4,"ELLESMERE RD",55977
4,"EVANS AVE",25011
4,"FAIRVIEW MALL DR",28841
4,"FINCH AVE E",148920
4,"FINCH AVE W",214554
4,"FORT YORK BLVD",7924
4,"FRONT ST E",12337
4,"FRONT ST W",32878
4,"GERRARD ST E",78226
4,"GERRARD ST W",17359
4,"GRANTBROOK ST",4523
4,"GUNNS RD",4416
4,"HARBORD ST",32856
4,"HIGHWAY 27",50335
4,"HORNER AVE",6876
4,"HUMBER COLLEGE BLVD",10137
4,"IAN MACDONALD BLVD",13137
4,"ISLINGTON AVE",146816
4,"JANE ST",88827
4,"JARVIS ST",29197
4,"KEELE ST",68387
4,"KENNEDY RD",66139
4,"KING ST E",27642
4,"KING ST W",213932
4,"KINGSTON RD",306879
4,"KIPLING AVE",112231
4,"LAKE SHORE BLVD E",44416
4,"LAKE SHORE BLVD W",243879
4,"LAWRENCE AVE E",172831
4,"LAWRENCE AVE W",122181
4,"LESLIE ST",125124
4,"LOWER SHERBOURNE ST",9655
4,"LUMSDEN AVE",5832
4,"MARKHAM RD",146536
4,"MARTIN GROVE RD",11472
4,"MCCOWAN RD",108918
4,"MCLEVIN AVE",6237
4,"MCNICOLL AVE",23146
4,"MEADOWVALE RD",9618
4,"MIDDLEFIELD RD",28921
4,"MIDLAND AVE",152953
4,"MILITARY TRL",9365
4,"MILNER AVE",7569
4,"MORNINGSIDE AVE",140634
4,"MORTIMER AVE",8528
4,"MOUNT PLEASANT RD",15238
4,"NEILSON RD",20592
4,"O CONNOR DR",77871
4,"OAK ST",11027
4,"OAKWOOD AVE",9481
4,"OLD KINGSTON RD",6155
4,"ORIOLE PKWY",38568
4,"OVERLEA BLVD",36711
4,"PARKSIDE DR",30555
4,"PARLIAMENT ST",24765
4,"PHARMACY AVE",33422
4,"PROGRESS AVE",26693
4,"QUEEN ST E",72199
4,"QUEEN ST W",149580
4,"QUEENS PARK CRES E",51441
4,"QUEENS QUAY E",6859
4,"QUEENS QUAY W",53710
4,"RANEE AVE",5900
4,"RATHBURN RD",12329
4,"RENFORTH DR",18498
4,"REXDALE BLVD",20262
4,"RICHMOND ST W",14248
4,"ROGERS RD",19642
4,"SCARBOROUGH GOLF CLUB RD",17753
4,"SENTINEL RD",8961
4,"SEWELLS RD",5907
4,"SHEPPARD AVE E",314764
4,"SHEPPARD AVE W",143752
4,"SHERBOURNE ST",78028
4,"SHOREHAM DR",11599
4,"SIGNET DR",6206
4,"SPADINA AVE",44682
4,"ST CLAIR AVE E",67768
4,"ST CLAIR AVE W",72908
4,"ST GEORGE ST",31594
4,"STEELES AVE E",228166
4,"STEELES AVE W",405897
4,"STRACHAN AVE",11511
4,"TAPSCOTT RD",16860
4,"THE EAST MALL",7499
4,"THE POND RD",20784
4,"THE QUEENSWAY",197141
4,"THE WESTWAY",8214
4,"TORO RD",4682
4,"UNIVERSITY AVE",34734
4,"VAUGHAN RD",6836
4,"VICTORIA PARK AVE",203861
4,"WARDEN AVE",135796
4,"WELLESLEY ST E",10627
4,"WESTON RD",117224
4,"WILLIAM R ALLEN RD",150737
4,"WILLOWDALE AVE",12531
4,"YONGE ST",648746
4,"YORK MILLS RD",201249
4,"YORK ST",58712
4,"YORKDALE RD",17950
5,"ADELAIDE ST E",22160
5,"ADELAIDE ST W",34170
5,"ALLIANCE AVE",9278
5,"ANNETTE ST",36316
5,"AVENUE RD",226410
5,"BATHURST ST",108158
5,"BAY ST",372938
5,"BAYVIEW AVE",149579
5,"BEECROFT RD",26060
5,"BELLAMY RD N",5442
5,"BIRCHMOUNT RD",13199
5,"BLACK CREEK DR",20790
5,"BLOOR ST",37733
5,"BLOOR ST E",71306
5,"BLOOR ST W",305660
5,"BONIS AVE",6411
5,"BRENYON WAY",2831
5,"BRIMLEY RD",185284
5,"BROADVIEW AVE",8455
5,"BROWNS LINE",19116
5,"CALEDONIA RD",11723
5,"CARLINGVIEW DR",15046
5,"CHESSWOOD DR",10812
5,"CHURCH ST",28820
5,"COLLEGE ST",40226
5,"CONSILIUM PL",9442
5,"COSBURN AVE",8259
5,"COXWELL AVE",41887
5,"CUMMER AVE",24413
5,"DANFORTH AVE",191884
5,"DANFORTH RD",97626
5,"DAVENPORT RD",62421
5,"DAWES RD",8420
5,"DIXON RD",14289
5,"DON MILLS RD",140265
5,"DON MILLS RD E",9790
5,"DONLANDS AVE",13051
5,"DORIS AVE",32873
5,"DOVERCOURT RD",15256
5,"DUFFERIN ST",18236
5,"DUNDAS ST E",54464
5,"DUNDAS ST W",177169
5,"DUPONT ST",38062
5,"DWIGHT AVE",3551
5,"EGLINTON AVE E",236118
5,"EGLINTON AVE W",167705
5,"ELLESMERE RD",23184
5,"EVANS AVE",28136
5,"FINCH AVE E",74220
5,"FINCH AVE W",141965
5,"FRONT ST E",12244
5,"GERRARD ST E",46880
5,"GUILDWOOD PKWY",7989
5,"HALLAM ST",8325
5,"HARBORD ST",29463
5,"HIGHWAY 27",45489
5,"INGRAM DR",7307
5,"ISLINGTON AVE",131105
5,"JANE ST",225707
5,"JARVIS ST",14859
5,"KEELE ST",145810
5,"KENNEDY RD",229748
5,"KING ST E",5363
5,"KING ST W",74977
5,"KINGSTON RD",219323
5,"KIPLING AVE",94229
5,"LAIRD DR",27272
5,"LAKE SHORE BLVD E",30651
5,"LAKE SHORE BLVD W",197546
5,"LANSDOWNE AVE",7372
5,"LAWRENCE AVE E",153911
5,"LAWRENCE AVE W",134046
5,"LEBOVIC AVE",5276
5,"LESLIE ST",61904
5,"LUMSDEN AVE",9475
5,"MARKHAM RD",8186
5,"MARTIN GROVE RD",28598
5,"MCCOWAN RD",76995
5,"MCLEVIN AVE",12022
5,"MCNICOLL AVE",51588
5,"MEADOWVALE RD",8471
5,"MIDDLEFIELD RD",8673
5,"MILLWOOD RD",24589
5,"MOUNT PLEASANT RD",29289
5,"NEILSON RD",64562
5,"NORTH QUEEN ST",11385
5,"O CONNOR DR",25310
5,"OAKWOOD AVE",13287
5,"OLD FINCH AVE",1081
5,"OLD WESTON RD",18623
5,"ORTON PARK RD",3615
5,"OSSINGTON AVE",28789
5,"OVERLEA BLVD",26746
5,"PAPE AVE",10647
5,"PARK LAWN RD",41564
5,"PARLIAMENT ST",18542
5,"PHARMACY AVE",114649
5,"PORT UNION RD",16261
5,"PROGRESS AVE",26043
5,"QUEEN ST E",48027
5,"QUEEN ST W",56044
5,"QUEENS PARK",22654
5,"QUEENS PLATE DR",6407
5,"QUEENS QUAY W",20595
5,"RENFORTH DR",77871
5,"REXDALE BLVD",92089
5,"ROGERS RD",13863
5,"RONCESVALLES AVE",8054
5,"ROYAL YORK RD",102601
5,"RUNNYMEDE RD",7913
5,"SCARBOROUGH GOLF CLUB RD",5405
5,"SENTINEL RD",7664
5,"SHAW ST",3555
5,"SHEPPARD AVE E",180939
5,"SHEPPARD AVE W",58633
5,"SHERBOURNE ST",17294
5,"SIGNET DR",9932
5,"SIMCOE ST",26902
5,"SPADINA CRES",15197
5,"SPADINA RD",46251
5,"ST CLAIR AVE E",42508
5,"ST CLAIR AVE W",219502
5,"STEELES AVE E",188035
5,"STEELES AVE W",54308
5,"STRACHAN AVE",12996
5,"TANGIERS RD",3039
5,"THE POND RD",11819
5,"THE QUEENSWAY",88284
5,"THE WEST MALL",14650
5,"THE WESTWAY",7969
5,"TRETHEWEY DR",8633
5,"UNIVERSITY AVE",134307
5,"VICTORIA PARK AVE",124920
5,"VICTORIA ST",22356
5,"WARDEN AVE",6878
5,"WELLINGTON ST W",23656
5,"WESTON RD",226336
5,"WILLOWDALE AVE",10116
5,"WILSON AVE",151715
5,"WILSON HEIGHTS BLVD",25174
5,"WINDERMERE AVE",7122
5,"WOODBINE AVE",25745
5,"YONGE ST",64625
5,"YORKDALE 401 ALLEN N RAMP",10027
6,"DANFORTH RD",13081
6,"EGLINTON AVE E",13125
6,"FINCH AVE W",27468
6,"KIPLING AVE",24084
6,"LAKE SHORE BLVD W",12247
6,"LAWRENCE AVE W",28771
6,"LESLIE ST",12424
6,"REXDALE BLVD",33699
6,"SPADINA AVE",12902
6,"STEELES AVE W",64424
6,"WESTON RD",13449
6,"YONGE ST",22586
7,"ALBION RD",42329
7,"AVENUE RD",19969
7,"BATHURST ST",225735
7,"BAYVIEW AVE",44873
7,"BIRCHMOUNT RD",32655
7,"BLOOR ST E",73291
7,"BLOOR ST W",27099
7,"BRIMLEY RD",24059
7,"BROWNS LINE",15926
7,"BURNHAMTHORPE RD",20765
7,"CARLINGVIEW DR",4742
7,"CHURCH ST",22720
7,"COLLEGE ST",78752
7,"COXWELL AVE",13332
7,"DANFORTH AVE",69478
7,"DANFORTH RD",39071
7,"DAVENPORT RD",16989
7,"DIXON RD",60595
7,"DONLANDS AVE",19156
7,"DOVERCOURT RD",15768
7,"DUFFERIN ST",194674
7,"DUNDAS ST E",18364
7,"DUNDAS ST W",195138
7,"DUPONT ST",49285
7,"EASTERN AVE",27585
7,"EGLINTON AVE E",80827
7,"EGLINTON AVE W",79827
7,"ELLESMERE RD",99152
7,"EVANS AVE",13968
7,"FINCH AVE E",132173
7,"FINCH AVE W",15923
7,"HIGHWAY 27",24150
7,"ISLINGTON AVE",83981
7,"JANE ST",24401
7,"JARVIS ST",38242
7,"KEELE ST",10284
7,"KENNEDY RD",91692
7,"KING ST E",20293
7,"KING ST W",42592
7,"KINGSTON RD",158768
7,"KIPLING AVE",17953
7,"LAIRD DR",39086
7,"LAKE SHORE BLVD E",24630
7,"LAKE SHORE BLVD W",115339
7,"LANSDOWNE AVE",21008
7,"LAWRENCE AVE E",90203
7,"LAWRENCE AVE W",13721
7,"LESLIE ST",93220
7,"MAIN ST",22748
7,"MARKHAM RD",220204
7,"MARTIN GROVE RD",23101
7,"MCCOWAN RD",150300
7,"MIDLAND AVE",55127
7,"MILLWOOD RD",23982
7,"MORNINGSIDE AVE",28107
7,"MORTIMER AVE",17880
7,"MOUNT PLEASANT RD",31177
7,"NEILSON RD",51458
7,"O CONNOR DR",77477
7,"PAPE AVE",20667
7,"PARKSIDE DR",13415
7,"PARLIAMENT ST",33163
7,"PASSMORE AVE",8202
7,"PHARMACY AVE",42245
7,"QUEEN ST E",65562
7,"QUEEN ST W",21094
7,"REXDALE BLVD",21826
7,"ROGERS RD",19834
7,"SCARLETT RD",11072
7,"SHEPPARD AVE E",262818
7,"SHEPPARD AVE W",34433
7,"SHERBOURNE ST",12471
7,"SOUTHVALE DR",8991
7,"SPADINA AVE",202406
7,"ST CLAIR AVE E",121433
7,"ST CLAIR AVE W",30346
7,"STEELES AVE E",161389
7,"STEELES AVE W",155786
7,"THE WEST MALL",16493
7,"UNIVERSITY AVE",179039
7,"VICTORIA PARK AVE",50181
7,"WARDEN AVE",47369
7,"WILSON AVE",94308
7,"WOODBINE AVE",15374
7,"YONGE ST",516516
7,"YORKDALE RD",12265
